412,SANTA MARIA GUIENAGATI,21,22
413,SANTA MARIA HUATULCO,17,36
414,SANTA MARIA HUAZOLOTITLAN,9,106
415,SANTA MARIA IPALAPA,18,67
416,SANTA MARIA IXCATLAN,22,38
417,SANTA MARIA JACATEPEC,26,91
418,SANTA MARIA JALAPA DEL MARQUES,21,124
419,SANTA MARIA JALTIANGUIS,8,55
420,SANTA MARIA LACHIXIO,20,113
421,SANTA MARIA MIXTEQUILLA,21,25
422,SANTA MARIA NATIVITAS,2,52
423,SANTA MARIA NDUAYACO,23,46
424,SANTA MARIA OZOLOTEPEC,13,64
425,SANTA MARIA PAPALO,3,37
426,SANTA MARIA PEÑOLES,6,129
427,SANTA MARIA PETAPA,10,26
428,SANTA MARIA QUIEGOLANI,28,70
429,SANTA MARIA SOLA,20,65
430,SANTA MARIA TATALTEPEC,25,49
431,SANTA MARIA TECOMAVACA,22,38
432,SANTA MARIA TEMAXCALAPA,27,59
433,SANTA MARIA TEMAXCALTEPEC,11,122
434,SANTA MARIA TEOPOXCO,22,98
435,SANTA MARIA TEPANTLALI,14,57
436,SANTA MARIA TEXCATITLAN,3,37
437,SANTA MARIA TLAHUITOLTEPEC,14,57
438,SANTA MARIA TLALIXTAC,3,121
439,SANTA MARIA TONAMECA,17,34
440,SANTA MARIA TOTOLAPILLA,21,25
441,SANTA MARIA XADANI,10,87
442,SANTA MARIA YALINA,27,60
443,SANTA MARIA YAVESIA,8,55
444,SANTA MARIA YOLOTEPEC,25,74
445,SANTA MARIA YOSOYUA,25,49
446,SANTA MARIA YUCUHITI,25,89
447,SANTA MARIA ZACATEPEC,18,67
448,SANTA MARIA ZANIZA,20,112
449,SANTA MARIA ZOQUITLAN,24,10
450,SANTIAGO AMOLTEPEC,20,135
451,SANTIAGO APOALA,15,45
452,SANTIAGO APOSTOL,16,7
453,SANTIAGO ASTATA,21,104
454,SANTIAGO ATITLAN,14,56
455,SANTIAGO AYUQUILILLA,7,99
456,SANTIAGO CACALOXTEPEC,7,41
